url,country_code,scope_hint,canonical_url,crawler_path,priority,notes
https://sosr.stvr.sk/,SK,country,,crawlers/sk/sosr_stvr_sk,0,Researched Slovakia source; tier=high; content=classical-only orchestra; expected_upload=classical; evidence=https://sosr.stvr.sk/sk/koncerty
https://albrechtforum.com/,SK,country,,crawlers/sk/albrechtforum_com,0,Researched Slovakia source; tier=high; content=mixed cultural calendar with substantial chamber music; expected_upload=potential; evidence=https://albrechtforum.com/events/
https://www.domumenia-piestany.sk/,SK,country,,crawlers/sk/domumenia_piestany_sk,0,Researched Slovakia source; tier=high; content=mixed venue with classical festivals and concerts; expected_upload=potential; evidence=https://www.domumenia-piestany.sk/
https://festivalsho.sk/,SK,country,,crawlers/sk/festivalsho_sk,0,Researched Slovakia source; tier=high; content=classical-only touring organ festival; expected_upload=classical; evidence=https://festivalsho.sk/
https://fph.sk/,SK,country,,crawlers/sk/fph_sk,0,Researched Slovakia source; tier=high; content=classical festival across central Slovakia; expected_upload=classical; evidence=https://fph.sk/sk/
https://www.bhsfestival.sk/,SK,country,,crawlers/sk/bhsfestival_sk,0,Researched Slovakia source; tier=high; content=classical-only festival; expected_upload=classical; verify overlap with filharmonia.sk feed; evidence=https://www.bhsfestival.sk/61-bhs-2026-program/
https://kof-ba.com/,SK,country,,crawlers/sk/kof_ba_com,0,Researched Slovakia source; tier=specialist; content=classical-only organ festival; expected_upload=classical; evidence=https://kof-ba.com/
https://www.organfest.sk/,SK,country,,crawlers/sk/organfest_sk,0,Researched Slovakia source; tier=specialist; content=classical-only Ars Organi Nitra festival; expected_upload=classical; evidence=https://www.organfest.sk/program/rocnik-2025/
https://www.jkmertz.com/,SK,country,,crawlers/sk/jkmertz_com,0,Researched Slovakia source; tier=specialist; content=classical guitar festival; expected_upload=classical; exclude courses and lectures; evidence=https://www.jkmertz.com/sk/49-rocnik
https://bratislavamozartfestival.sk/,SK,country,,crawlers/sk/bratislavamozartfestival_sk,0,Researched Slovakia source; tier=specialist; content=classical-only Mozart festival; expected_upload=classical; evidence=https://bratislavamozartfestival.sk/
https://sk.lblfestival.eu/,SK,country,,crawlers/sk/sk_lblfestival_eu,0,Researched Slovakia source; tier=specialist; content=classical-only Levoca festival; expected_upload=classical; evidence=https://sk.lblfestival.eu/program-2025/
https://operafest.sk/,SK,country,,crawlers/sk/operafest_sk,0,Researched Slovakia source; tier=specialist; content=opera festival; expected_upload=classical; evidence=https://operafest.sk/
https://promusicanostra.sk/,SK,country,,crawlers/sk/promusicanostra_sk,0,Researched Slovakia source; tier=specialist; content=classical festival across Slovak regions; expected_upload=classical; verify overlap with hc.sk; evidence=https://promusicanostra.sk/
https://nitra.sk/,SK,country,,crawlers/sk/nitra_sk,0,Researched Slovakia source; tier=regional; content=mixed city calendar with classical festivals; expected_upload=potential; evidence=https://nitra.sk/nhj2026/
https://www.banskabystrica.sk/,SK,country,,crawlers/sk/banskabystrica_sk,0,Researched Slovakia source; tier=regional; content=mixed city calendar with Banskobystricka hudobna jar; expected_upload=potential; evidence=https://www.banskabystrica.sk/hudobnajar/
https://rosenfeldovpalac.sk/,SK,country,,crawlers/sk/rosenfeldovpalac_sk,0,Researched Slovakia source; tier=regional; content=mixed venue concert calendar; expected_upload=potential; evidence=https://rosenfeldovpalac.sk/category/archiv/koncerty/
https://konza.sk/,SK,country,,crawlers/sk/konza_sk,0,Researched Slovakia source; tier=regional; content=mixed conservatory calendar; expected_upload=potential; exclude administrative and course entries; evidence=https://konza.sk/
https://www.mskshe.sk/,SK,country,,crawlers/sk/mskshe_sk,0,Researched Slovakia source; tier=regional; content=mixed Humenne venue with classical cycles and festivals; expected_upload=potential; evidence=https://www.mskshe.sk/index.php/program
https://www.visitkremnica.com/,SK,country,,crawlers/sk/visitkremnica_com,0,Researched Slovakia source; tier=regional; content=mixed tourism calendar with Hudba pod diamantovou klenbou; expected_upload=potential; evidence=https://www.visitkremnica.com/hudba-pod-diamantovou-klenbou-2025/
https://www.bardejov.sk/,SK,country,,crawlers/sk/bardejov_sk,0,Researched Slovakia source; tier=regional; content=mixed city calendar with Organove dni Jozefa Gresaka; expected_upload=potential; evidence=https://www.bardejov.sk/
https://www.trencinregion.sk/,SK,country,,crawlers/sk/trencinregion_sk,0,Researched Slovakia source; tier=regional; content=mixed regional calendar with classical concert series; expected_upload=potential; evidence=https://www.trencinregion.sk/kalendar-podujati/
https://www.quasars-ensemble.com/,,multi_country,,crawlers/common/quasars_ensemble_com,0,Researched Slovak ensemble source; tier=high; content=classical concert feed with international dates; expected_upload=classical; preserve event geography; evidence=https://www.quasars-ensemble.com/concerts
